TSRW10,MATS5se,nN,AXp-7d,NaasC,Xc-5dv,Xch-5dv,GATS4dv,AXp-4d,AATSC5are,nHBAcc,ATSC5are,ATSC5se,piPC10,AXp-3d,PEOE_VSA5,SlogP_VSA10,GGI4,SlogP_VSA1,SMILES,Lambda max (nm),Solvent,lumo,Bandgap
57.39765049,0.347731709,1,0.04269705,1,0.012028131,0.03928371,1.121958073,0.143936593,0.053774852,4,1.667020416,1.288337664,3.056356895,0.209197991,0,0,0.435,0,O=C(OCC)/C(C#N)=C/C1=CC=CO1,336,CH2Cl2,-0.75882,4.46863
56.83713236,0.05516909,0,0.025800578,6,0.147777879,0,1.120012359,0.102839953,0.007876923,4,0.512,0.543160889,7.728209443,0.166223554,0,0,2.373333333,0,O=C(C1=C2C=CC=C1)C3=C(C=C(C(O)=O)C(C(O)=O)=C3)C2=O,337,DMF,-2.87834,2.50651
46.18500896,-0.09802231,0,0.032436873,3,0.075343679,0,1.036532925,0.114698923,-0.02007438,4,-0.802975207,-0.574903669,6.216134277,0.182341517,0,0,1.248888889,5.625586319,O=C1OC2=CC(O)=C(O)C=C2C(C)=C1,337,CH2Cl2,-2.35128,2.98857
61.83897477,-0.046751121,1,0.031157431,3,0.115878533,0,1.163623499,0.12295909,-0.001545531,7,-0.165371845,-0.61279801,6.758820141,0.190696804,0,5.687386275,1.666666667,4.899909731,ClC1=CC(N2CCS(CC2)(=O)=O)=CC=C1/C=C(C(OCC)=O)\C(OCC)=O,337,CH2Cl2,-2.44155,3.1981
44.67019388,-0.067748719,0,0.036499825,2,0.058677012,0,1.058057895,0.118171935,-0.016961451,3,-0.610612245,-0.296985252,5.987075045,0.180818566,0,0,1.057777778,5.625586319,O=C1OC2=CC=C(C=C2C(C)=C1)O,338,CH2Cl2,-2.16393,3.01079
53.85527445,-0.174056349,0,0.029180536,3,0.063411722,0,1.053648732,0.115792891,-0.022355556,4,-1.117777778,-0.983167111,7.5438008,0.181735101,0,0,1.448888889,5.625586319,O=C1OC2=CC(O)=CC=C2C=C1C(C3=CC=CC=C3)=O,338.5,CH2Cl2,-2.38945,2.93473
59.0364374,0.055937349,1,0.026557939,4,0.177763263,0,1.018533373,0.106574749,0.004873907,3,0.394786449,0.485658944,7.076601027,0.171476029,0,5.687386275,2.551111111,4.899909731,O=C1C(N(C(C)=O)C2=CC=C(Cl)C=C2)=C(C(C3=CC=CC=C31)=O)Cl,339,CH2Cl2,-2.50283,2.78853
63.42145278,-0.146998119,1,0.032294372,5,0.072736592,0,1.104431583,0.118502615,-0.016967722,4,-1.645868988,-1.221262416,8.115818534,0.184603091,0,5.687386275,1.831111111,15.67923788,O=C1OC2=CC=CC=C2C=C1C3=CC=C(NC(C4=CC=C(OC)C=C4)=O)C=C3,339.1,CH2Cl2,-2.62382,2.57461
64.31595775,-0.177416016,4,0.039685069,5,0.05295085,0.02795085,1.285216995,0.13136242,-0.018993541,4,-1.082631834,-0.596381744,6.716821745,0.197117808,5.114250126,11.37477255,0.507222222,0,OCCC(C=C1)=CC=C1/N=N/C2=C(C)NN=C2C,339.14,DMF,-2.24323,3.41337
59.92909635,-0.098390041,1,0.03345412,3,0.115878533,0,1.137294998,0.129592356,-0.005508333,5,-0.644475,-1.305120803,6.195170405,0.192631013,23.20187978,5.687386275,1.493333333,4.899909731,ClC1=CC(N(CCCl)CCCl)=CC=C1/C=C(C(OCC)=O)\C(OCC)=O,339.3,CH2Cl2,-2.23354,3.25603
53.85527445,-0.174056349,0,0.029180536,3,0.063411722,0,1.053648732,0.115792891,-0.022355556,4,-1.117777778,-0.983167111,7.5438008,0.181735101,0,0,1.448888889,5.625586319,O=C1OC2=CC(O)=CC=C2C=C1C(C3=CC=CC=C3)=O,339.37,Ethyl acetate,-2.38945,2.93473
74.85612649,0.461285806,2,0.041711538,2,0.024056261,0.07856742,1.092601646,0.138155482,0.083215235,8,5.242559834,3.900932388,5.027164596,0.206068723,0,0,0.95,0,O=C(/C(C#N)=C/C1=CC=CO1)OCCOC(/C(C#N)=C/C2=CC=CO2)=O,339.5,DMF,-1.67611,4.07359
64.04902086,-0.279855329,3,0.030108616,3,0.046243278,0.02236068,1.17345243,0.111706931,-0.030954696,4,-1.362006633,-0.737204918,7.600929803,0.177867698,14.99386984,0,1.000555556,0,OC1=CC=C(C)C=C1N2N=C3C=CC=CC3=N2,340,CH2Cl2,-2.49423,2.99657
79.99924095,-0.034302948,4,0.029105283,5,0.210934011,0.02236068,1.207329152,0.11240548,-0.016470929,8,-1.630621928,-0.368200234,8.128562154,0.175626098,14.99386984,5.687386275,2.040555556,4.722094864,OC1=CC(NS(C2=CC=CC=C2C(OC)=O)(=O)=O)=CC=C1N3N=C4C=CC=CC4=N3,340,CH2Cl2,-2.74399,2.81221
72.07435508,-0.029351187,3,0.032101612,3,0.046243278,0.02236068,0.884174806,0.117700582,-0.0007316,4,-0.078281175,-0.126094912,7.758303432,0.186717645,14.99386984,0,1.040555556,0,OC1=CC=C(CCCCCCCC)C=C1N2N=C3C=CC=CC3=N2,340,CH2Cl2,-2.48685,2.5164
54.72744586,0.155749367,2,0.046167594,1,0.017010345,0.11785113,1.026359102,0.143580794,-0.005087318,3,-0.111920988,0.256332049,0,0.210471416,11.33678588,0,0.355,5.733667477,O=C(/C(C#N)=C/C1=CC=CS1)N,340,CH2Cl2,-0.48345,4.7932
